['hyper_param_list', 'index_of_best', 'score_of_best', 'training_time', 'run_time']
[[0.001, 0.0008, 0.0006, 0.0004, 0.0002, 0.0001, 8e-05], 5, 0.882260000705719, 4996.378471374512, 4999.470880270004]
[9, 0.99902356, 9]
[2, 0.9994499, 2]
[1, 1.0, 1]
[1, 1.0, 1]
[6, 0.7476803, 6]
[1, 1.0, 1]
[4, 0.9965358, 4]
[6, 0.9999987, 6]
[5, 1.0, 5]
[7, 1.0, 7]
[4, 0.94576985, 4]
[5, 1.0, 5]
[5, 0.9999982, 7]
[3, 1.0, 3]
[4, 0.94315106, 4]
[1, 1.0, 1]
[2, 0.99890614, 2]
[2, 0.86246073, 4]
[8, 1.0, 8]
[0, 0.99997497, 0]
[2, 0.98884016, 2]
[5, 0.9994649, 5]
[7, 1.0, 7]
[5, 1.0, 9]
[1, 1.0, 1]
[2, 0.9276097, 4]
[6, 0.88612145, 6]
[0, 0.6939206, 0]
[9, 0.99898356, 9]
[4, 0.9030555, 3]
[8, 1.0, 8]
[8, 1.0, 8]
[3, 0.9998734, 3]
[3, 0.9999999, 3]
[8, 1.0, 8]
[0, 0.99999714, 0]
[7, 1.0, 7]
[5, 1.0, 5]
[7, 1.0, 7]
[9, 0.99999905, 9]
[0, 0.97217, 6]
[1, 1.0, 1]
[6, 0.51008886, 3]
[7, 0.9990914, 7]
[6, 0.9344823, 6]
[7, 0.999982, 7]
[2, 0.9485882, 2]
[1, 1.0, 1]
[2, 0.37751713, 2]
[2, 0.45561823, 2]
[4, 0.9470717, 4]
[2, 0.65818924, 4]
[5, 0.99999845, 5]
[8, 0.99998844, 8]
[2, 0.93010306, 2]
[2, 0.9990409, 2]
[8, 1.0, 8]
[2, 0.49241248, 4]
[8, 1.0, 8]
[0, 1.0, 0]
[7, 1.0, 7]
[7, 1.0, 7]
[8, 1.0, 8]
[5, 1.0, 5]
[1, 1.0, 1]
[1, 1.0, 1]
[2, 0.5203758, 2]
[4, 0.9841601, 3]
[7, 0.99999857, 9]
[8, 1.0, 8]
[7, 1.0, 7]
[0, 0.98890126, 0]
[2, 0.95732224, 2]
[6, 0.6725503, 6]
[2, 0.7887793, 2]
[3, 0.99973744, 3]
[1, 1.0, 1]
[2, 0.99997604, 2]
[8, 1.0, 8]
[4, 0.98384446, 4]
[1, 1.0, 1]
[8, 1.0, 8]
[5, 1.0, 5]
[9, 0.99999845, 9]
[5, 1.0, 5]
[0, 0.9999999, 0]
[3, 0.97442764, 3]
[2, 0.98743033, 2]
[0, 0.99999976, 0]
[2, 0.8479981, 6]
[5, 1.0, 5]
[3, 0.9047674, 3]
[6, 0.99987173, 6]
[7, 1.0, 7]
[1, 1.0, 1]
[8, 1.0, 8]
[0, 0.9986998, 0]
[1, 1.0, 1]
[2, 0.6206965, 4]
